NCD pAvals pCvals pp pc Dprime Method r2value sd Method2
300Ha 0.25 0.35 0.25-0.35 0.3 0.6 Ha 0.6 0.045 Ha300Ha
900Ha 0.25 0.35 0.25-0.35 0.3 0.6 Ha 0.6 0.025 Ha900Ha
1800Ha 0.25 0.35 0.25-0.35 0.3 0.6 Ha 0.6 0.018 Ha1800Ha
2700Ha 0.25 0.35 0.25-0.35 0.3 0.6 Ha 0.6 0.015 Ha2700Ha
100Ha 0.35 0.35 0.35-0.35 0.35 0.6 Ha 0.604 0.073 Ha100Ha
300Ha 0.35 0.35 0.35-0.35 0.35 0.6 Ha 0.601 0.042 Ha300Ha
900Ha 0.35 0.35 0.35-0.35 0.35 0.6 Ha 0.6 0.024 Ha900Ha
1800Ha 0.35 0.35 0.35-0.35 0.35 0.6 Ha 0.6 0.017 Ha1800Ha
2700Ha 0.35 0.35 0.35-0.35 0.35 0.6 Ha 0.6 0.014 Ha2700Ha
100Ha 0.05 0.45 0.05-0.45 0.25 0.6 Ha 0.603 0.09 Ha100Ha
300Ha 0.05 0.45 0.05-0.45 0.25 0.6 Ha 0.601 0.053 Ha300Ha
900Ha 0.05 0.45 0.05-0.45 0.25 0.6 Ha 0.6 0.03 Ha900Ha
1800Ha 0.05 0.45 0.05-0.45 0.25 0.6 Ha 0.6 0.022 Ha1800Ha
2700Ha 0.05 0.45 0.05-0.45 0.25 0.6 Ha 0.601 0.017 Ha2700Ha
100Ha 0.15 0.45 0.15-0.45 0.3 0.6 Ha 0.602 0.082 Ha100Ha
300Ha 0.15 0.45 0.15-0.45 0.3 0.6 Ha 0.601 0.047 Ha300Ha
900Ha 0.15 0.45 0.15-0.45 0.3 0.6 Ha 0.6 0.026 Ha900Ha
1800Ha 0.15 0.45 0.15-0.45 0.3 0.6 Ha 0.601 0.019 Ha1800Ha
2700Ha 0.15 0.45 0.15-0.45 0.3 0.6 Ha 0.6 0.016 Ha2700Ha
100Ha 0.25 0.45 0.25-0.45 0.35 0.6 Ha 0.604 0.074 Ha100Ha
300Ha 0.25 0.45 0.25-0.45 0.35 0.6 Ha 0.602 0.044 Ha300Ha
900Ha 0.25 0.45 0.25-0.45 0.35 0.6 Ha 0.6 0.024 Ha900Ha
1800Ha 0.25 0.45 0.25-0.45 0.35 0.6 Ha 0.6 0.017 Ha1800Ha
2700Ha 0.25 0.45 0.25-0.45 0.35 0.6 Ha 0.6 0.014 Ha2700Ha
100Ha 0.35 0.45 0.35-0.45 0.4 0.6 Ha 0.604 0.071 Ha100Ha
300Ha 0.35 0.45 0.35-0.45 0.4 0.6 Ha 0.602 0.042 Ha300Ha
900Ha 0.35 0.45 0.35-0.45 0.4 0.6 Ha 0.599 0.024 Ha900Ha
1800Ha 0.35 0.45 0.35-0.45 0.4 0.6 Ha 0.6 0.017 Ha1800Ha
2700Ha 0.35 0.45 0.35-0.45 0.4 0.6 Ha 0.601 0.014 Ha2700Ha
100Ha 0.45 0.45 0.45-0.45 0.45 0.6 Ha 0.604 0.068 Ha100Ha
300Ha 0.45 0.45 0.45-0.45 0.45 0.6 Ha 0.6 0.04 Ha300Ha
900Ha 0.45 0.45 0.45-0.45 0.45 0.6 Ha 0.6 0.023 Ha900Ha
1800Ha 0.45 0.45 0.45-0.45 0.45 0.6 Ha 0.6 0.017 Ha1800Ha
2700Ha 0.45 0.45 0.45-0.45 0.45 0.6 Ha 0.601 0.013 Ha2700Ha
100Ha 0.05 0.05 0.05-0.05 0.05 0.8 Ha 0.8 0.133 Ha100Ha
300Ha 0.05 0.05 0.05-0.05 0.05 0.8 Ha 0.801 0.076 Ha300Ha
900Ha 0.05 0.05 0.05-0.05 0.05 0.8 Ha 0.801 0.044 Ha900Ha
1800Ha 0.05 0.05 0.05-0.05 0.05 0.8 Ha 0.801 0.032 Ha1800Ha
2700Ha 0.05 0.05 0.05-0.05 0.05 0.8 Ha 0.799 0.026 Ha2700Ha
100Ha 0.05 0.15 0.05-0.15 0.1 0.8 Ha 0.802 0.099 Ha100Ha
300Ha 0.05 0.15 0.05-0.15 0.1 0.8 Ha 0.802 0.056 Ha300Ha
900Ha 0.05 0.15 0.05-0.15 0.1 0.8 Ha 0.8 0.032 Ha900Ha
1800Ha 0.05 0.15 0.05-0.15 0.1 0.8 Ha 0.801 0.022 Ha1800Ha
2700Ha 0.05 0.15 0.05-0.15 0.1 0.8 Ha 0.8 0.018 Ha2700Ha
100Ha 0.15 0.15 0.15-0.15 0.15 0.8 Ha 0.805 0.077 Ha100Ha
300Ha 0.15 0.15 0.15-0.15 0.15 0.8 Ha 0.799 0.046 Ha300Ha
900Ha 0.15 0.15 0.15-0.15 0.15 0.8 Ha 0.8 0.027 Ha900Ha
1800Ha 0.15 0.15 0.15-0.15 0.15 0.8 Ha 0.799 0.019 Ha1800Ha
2700Ha 0.15 0.15 0.15-0.15 0.15 0.8 Ha 0.8 0.016 Ha2700Ha
100Ha 0.05 0.25 0.05-0.25 0.15 0.8 Ha 0.803 0.082 Ha100Ha
300Ha 0.05 0.25 0.05-0.25 0.15 0.8 Ha 0.8 0.047 Ha300Ha
900Ha 0.05 0.25 0.05-0.25 0.15 0.8 Ha 0.8 0.028 Ha900Ha
1800Ha 0.05 0.25 0.05-0.25 0.15 0.8 Ha 0.8 0.02 Ha1800Ha
2700Ha 0.05 0.25 0.05-0.25 0.15 0.8 Ha 0.8 0.016 Ha2700Ha
100Ha 0.15 0.25 0.15-0.25 0.2 0.8 Ha 0.802 0.072 Ha100Ha
300Ha 0.15 0.25 0.15-0.25 0.2 0.8 Ha 0.8 0.041 Ha300Ha
900Ha 0.15 0.25 0.15-0.25 0.2 0.8 Ha 0.8 0.024 Ha900Ha
1800Ha 0.15 0.25 0.15-0.25 0.2 0.8 Ha 0.8 0.017 Ha1800Ha
2700Ha 0.15 0.25 0.15-0.25 0.2 0.8 Ha 0.8 0.014 Ha2700Ha
100Ha 0.25 0.25 0.25-0.25 0.25 0.8 Ha 0.8 0.066 Ha100Ha
300Ha 0.25 0.25 0.25-0.25 0.25 0.8 Ha 0.8 0.039 Ha300Ha
900Ha 0.25 0.25 0.25-0.25 0.25 0.8 Ha 0.799 0.021 Ha900Ha
1800Ha 0.25 0.25 0.25-0.25 0.25 0.8 Ha 0.8 0.015 Ha1800Ha
2700Ha 0.25 0.25 0.25-0.25 0.25 0.8 Ha 0.8 0.013 Ha2700Ha
100Ha 0.05 0.35 0.05-0.35 0.2 0.8 Ha 0.803 0.078 Ha100Ha
300Ha 0.05 0.35 0.05-0.35 0.2 0.8 Ha 0.801 0.044 Ha300Ha
900Ha 0.05 0.35 0.05-0.35 0.2 0.8 Ha 0.8 0.025 Ha900Ha
1800Ha 0.05 0.35 0.05-0.35 0.2 0.8 Ha 0.8 0.018 Ha1800Ha
2700Ha 0.05 0.35 0.05-0.35 0.2 0.8 Ha 0.8 0.015 Ha2700Ha
100Ha 0.15 0.35 0.15-0.35 0.25 0.8 Ha 0.801 0.069 Ha100Ha
300Ha 0.15 0.35 0.15-0.35 0.25 0.8 Ha 0.801 0.039 Ha300Ha
900Ha 0.15 0.35 0.15-0.35 0.25 0.8 Ha 0.8 0.022 Ha900Ha
1800Ha 0.15 0.35 0.15-0.35 0.25 0.8 Ha 0.8 0.016 Ha1800Ha
2700Ha 0.15 0.35 0.15-0.35 0.25 0.8 Ha 0.8 0.013 Ha2700Ha
100Ha 0.25 0.35 0.25-0.35 0.3 0.8 Ha 0.802 0.062 Ha100Ha
300Ha 0.25 0.35 0.25-0.35 0.3 0.8 Ha 0.801 0.035 Ha300Ha
900Ha 0.25 0.35 0.25-0.35 0.3 0.8 Ha 0.799 0.021 Ha900Ha
1800Ha 0.25 0.35 0.25-0.35 0.3 0.8 Ha 0.799 0.015 Ha1800Ha
2700Ha 0.25 0.35 0.25-0.35 0.3 0.8 Ha 0.8 0.012 Ha2700Ha
100Ha 0.35 0.35 0.35-0.35 0.35 0.8 Ha 0.8 0.059 Ha100Ha
